people;(kansa)
meaning;(merkitys)
medicine;(lääketiede)
philosophy;(filosofia)
teacher;(opettaja)
communication;(viestintä)
night;(yö)
chemistry;(kemia)
disease;(sairaus)
disk;(levy)
energy;(energia)
nation;(kansakunta)
road;(tie)
role;(rooli)
soup;(keitto)
advertising;(mainonta)
location;(paikka)
success;(menestys)
addition;(yhteenlasku)
apartment;(asunto)
education;(koulutus)
math;(matikka)
moment;(hetki)
painting;(maalaus)
politics;(politiikka)
attention;(tarkkaavaisuus)
decision;(päätös)
event;(tapahtuma)
property;(ominaisuus)
shopping;(ostokset)
student;(opiskelija)
wood;(puu)
competition;(kilpailu)
distribution;(jakelu)
entertainment;(viihde)
office;(toimisto)
population;(väestö)
president;(presidentti)
unit;(yksikkö)
category;(luokka)
cigarette;(savuke)
context;(asiayhteys)
introduction;(johdanto)
opportunity;(tilaisuus)
performance;(suorituskyky)
driver;(kuljettaja)
flight;(lento)
length;(pituus)
magazine;(aikakauslehti)
newspaper;(sanomalehti)
relationship;(suhde)
teaching;(opetus)
cell;(solu)
dealer;(jälleenmyyjä)
finding;(löytäminen)
lake;(järvi)
member;(jäsen)
message;(viesti)
phone;(puhelin)
scene;(kohtaus)
appearance;(ulkonäkö)
association;(yhdistys)
concept;(käsite)
customer;(asiakas)
death;(kuolema)
discussion;(keskustelu)
housing;(asunnot)
inflation;(inflaatio)
insurance;(vakuutus)
mood;(mieliala)
woman;(nainen)
advice;(neuvo)
blood;(veri)
effort;(ponnistus)
expression;(lauseke)
importance;(tärkeys)
opinion;(mielipide)
payment;(maksu)
reality;(todellisuus)
responsibility;(vastuu)
situation;(tilanne)
skill;(taito)
statement;(lausunto)
wealth;(varallisuus)
application;(sovellus)
city;(kaupunki)
county;(kreivikunta)
depth;(syvyys)
estate;(tila)
foundation;(säätiö)
grandmother;(isoäiti)
heart;(sydän)
perspective;(perspektiivi)
photo;(valokuva)
recipe;(resepti)
studio;(studio)
topic;(aihe)
collection;(kokoelma)
depression;(depressio)
imagination;(mielikuvitus)
passion;(intohimo)
percentage;(prosenttiosuus)
resource;(resurssi)
setting;(asetus)
ad;(mainos)
agency;(toiminta)
college;(college)
connection;(yhteys)
criticism;(kritiikki)
debt;(velka)
description;(kuvaus)
memory;(muisti)
patience;(kärsivällisyys)
secretary;(sihteeri)
solution;(ratkaisu)
administration;(hallinto)
aspect;(aspekti)
attitude;(asenne)
director;(ohjaaja)
personality;(persoonallisuus)
psychology;(psykologia)
recommendation;(suositus)
response;(vastaus)
selection;(valinta)
storage;(varastointi)
version;(versio)
alcohol;(alkoholi)
argument;(argumentti)
complaint;(valitus)
contract;(sopimus)
emphasis;(paino)
highway;(valtatie)
loss;(menetys)
membership;(jäsenyys)
possession;(omaisuus)
preparation;(valmistelu)
steak;(pihvi)
union;(liitto)
agreement;(sopimus)
cancer;(syöpä)
currency;(valuutta)
employment;(työllisyys)
engineering;(tekniikka)
entry;(merkintä)
interaction;(vuorovaikutus)
mixture;(sekoitus)
preference;(etusija)
region;(alue)
republic;(tasavalta)
tradition;(perinne)
virus;(virus)
actor;(näyttelijä)
classroom;(luokkahuone)
delivery;(toimitus)
device;(laite)
difficulty;(vaikeus)
drama;(draama)
election;(vaalit)
engine;(moottori)
football;(jalkapallo)
guidance;(ohjaus)
hotel;(hotelli)
owner;(omistaja)
priority;(prioriteetti)
protection;(suoja)
suggestion;(ehdotus)
tension;(jännitys)
variation;(vaihtelu)
anxiety;(ahdistus)
atmosphere;(ilmakehä)
awareness;(tietoisuus)
bath;(kylpy)
bread;(leipä)
candidate;(ehdokas)
climate;(ilmasto)
comparison;(vertailu)
confusion;(sekaannus)
construction;(rakentaminen)
elevator;(hissi)
emotion;(emootio)
employee;(työntekijä)
employer;(työnantaja)
guest;(vieras)
height;(korkeus)
leadership;(johtajuus)
mall;(ostoskeskus)
manager;(manageri)
operation;(operaatio)
recording;(äänitys)
sample;(otos)
transportation;(kuljetus)
charity;(hyväntekeväisyys)
cousin;(serkku)
disaster;(katastrofi)
editor;(editori)
efficiency;(tehokkuus)
excitement;(kiihtymys)
extent;(alue)
feedback;(palaute)
guitar;(kitara)
homework;(kotitehtävät)
leader;(johtaja)
mom;(äiti)
outcome;(tulos)
permission;(lupa)
presentation;(esitys)
promotion;(ylennys)
reflection;(heijastus)
refrigerator;(jääkaappi)
resolution;(päätöslauselma)
revenue;(tulot)
session;(istunto)
singer;(laulaja)
tennis;(tennis)
basket;(vasu)
bonus;(bonus)
cabinet;(kaappi)
childhood;(lapsuus)
church;(kirkko)
clothes;(vaatteet)
coffee;(kahvi)
dinner;(päivällinen)
drawing;(piirros)
hair;(hius)
hearing;(kuulo)
initiative;(aloite)
judgment;(tuomio)
lab;(laboratorio)
measurement;(mittaus)
mode;(moodi)
mud;(muta)
orange;(appelsiini)
poetry;(runous)
police;(poliisi)
possibility;(mahdollisuus)
procedure;(menettely)
queen;(kuningatar)
ratio;(suhde)
relation;(suhde)
restaurant;(ravintola)
satisfaction;(tyytyväisyys)
sector;(sektori)
signature;(allekirjoitus)
significance;(merkitys)
song;(laulu)
tooth;(hammas)
town;(kaupunki)
vehicle;(ajoneuvo)
volume;(tilavuus)
wife;(vaimo)
accident;(onnettomuus)
airport;(lentokenttä)
appointment;(tapaaminen)
arrival;(saapuminen)
assumption;(olettamus)
baseball;(baseball)
chapter;(luku)
committee;(komitea)
conversation;(keskustelu)
database;(tietokanta)
enthusiasm;(innostus)
error;(virhe)
explanation;(selitys)
farmer;(viljelijä)
gate;(portti)
girl;(tyttö)
hall;(sali)
historian;(historioitsija)
hospital;(sairaala)
injury;(vahinkoa)
instruction;(ohje)
maintenance;(kunnossapito)
manufacturer;(valmistaja)
meal;(ateria)
perception;(havainto)
pie;(piirakka)
poem;(runo)
presence;(läsnäolo)
proposal;(ehdotus)
reception;(vastaanotto)
replacement;(korvaaminen)
revolution;(vallankumous)
river;(joki)
son;(poika)
speech;(puhe)
tea;(tee)
village;(kylä)
warning;(varoitus)
winner;(voittaja)
worker;(työläinen)
writer;(kirjailija)
assistance;(apu)
breath;(henkäys)
buyer;(ostaja)
chest;(kirstu)
chocolate;(suklaa)
conclusion;(johtopäätös)
contribution;(panos)
cookie;(eväste)
courage;(rohkeus)
dad;(faija)
desk;(kirjoituspöytä)
drawer;(laatikko)
establishment;(perustaminen)
examination;(koe)
garbage;(roskat)
grocery;(ruokakauppa)
honey;(hunaja)
impression;(vaikutelma)
improvement;(parannus)
independence;(riippumattomuus)
insect;(hyönteinen)
inspection;(tarkastus)
inspector;(tarkastaja)
king;(kuningas)
ladder;(tikapuut)
menu;(valikko)
penalty;(rangaistus)
piano;(piano)
potato;(peruna)
profession;(ammatti)
professor;(professori)
quantity;(määrä)
reaction;(reaktio)
requirement;(vaatimus)
salad;(salaatti)
sister;(sisko)
supermarket;(valintamyymälä)
tongue;(kieli)
weakness;(heikkous)
wedding;(häät)
affair;(juttu)
ambition;(kunnianhimo)
analyst;(analyytikko)
apple;(omena)
assignment;(tehtävä)
assistant;(assistentti)
bathroom;(kylpyhuone)
bedroom;(makuuhuone)
beer;(olut)
birthday;(syntymäpäivä)
celebration;(juhla)
championship;(mestaruus)
cheek;(poski)
client;(asiakas)
consequence;(seuraus)
departure;(lähtö)
diamond;(timantti)
dirt;(lika)
ear;(korva)
fortune;(omaisuus)
friendship;(ystävyys)
funeral;(hautajaiset)
gene;(geeni)
girlfriend;(tyttöystävä)
hat;(hattu)
indication;(merkki)
intention;(aikomus)
lady;(rouva)
midnight;(keskiyö)
negotiation;(neuvottelu)
obligation;(velvollisuus)
passenger;(matkustaja)
pizza;(pizza)
platform;(lava)
poet;(runoilija)
pollution;(saastuminen)
recognition;(tunnistaminen)
reputation;(maine)
shirt;(paita)
sir;(herra)
speaker;(kaiutin)
stranger;(muukalainen)
surgery;(kirurgia)
sympathy;(sympatia)
tale;(tarina)
throat;(kurkku)
trainer;(kouluttaja)
uncle;(setä)
youth;(nuoruus)
time;(aika)
work;(työ)
film;(filmi)
water;(vesi)
money;(raha)
example;(esimerkki)
while;(hetki)
business;(liiketoiminta)
study;(opiskella)
game;(peli)
life;(elämä)
form;(lomake)
air;(ilma)
day;(päivä)
place;(paikka)
number;(numero)
part;(part)
field;(pelto)
fish;(kala)
back;(selkä)
process;(prosessi)
heat;(lämpö)
hand;(käsi)
experience;(kokea)
job;(työ)
book;(kirja)
end;(loppu)
point;(piste)
type;(tyyppi)
home;(koti)
economy;(talous)
value;(arvo)
body;(keho)
market;(markkinat)
guide;(opas)
interest;(korko)
state;(valtio)
radio;(radio)
course;(kurssi)
company;(yritys)
price;(hinta)
size;(koko)
card;(kortti)
list;(lista)
mind;(mieli)
trade;(kauppa)
line;(rivi)
care;(hoitaa)
group;(ryhmä)
risk;(riski)
word;(sana)
fat;(rasva)
force;(voima)
key;(avain)
light;(valo)
training;(harjoittelu)
name;(nimi)
school;(koulu)
top;(huippu)
amount;(määrä)
level;(taso)
order;(tilata)
practice;(käytäntö)
research;(tutkimus)
sense;(aisti)
service;(palvelu)
piece;(pala)
web;(verkko)
boss;(pomo)
sport;(urheilu)
fun;(hauskuus)
house;(talo)
page;(sivu)
term;(termi)
test;(testi)
answer;(vastata)
sound;(ääni)
focus;(polttopiste)
matter;(materia)
kind;(tyyppi)
soil;(maaperä)
board;(lauta)
oil;(öljy)
picture;(kuva)
access;(pääsy)
garden;(puutarha)
range;(etäisyys)
rate;(tahti)
reason;(syy)
future;(tulevaisuus)
site;(paikka)
demand;(kysyntä)
exercise;(harjoitus)
image;(kuva)
case;(tapaus)
cause;(aiheuttaa)
coast;(rannikko)
action;(toiminta)
age;(ikä)
bad;(paha)
boat;(vene)
record;(ennätys)
result;(tulos)
section;(osa)
building;(rakennus)
mouse;(hiiri)
cash;(käteinen)
class;(class)
nothing;(ei mitään)
period;(jakso)
plan;(suunnitelma)
store;(kauppa)
tax;(vero)
side;(puoli)
subject;(aihe)
space;(avaruus)
rule;(sääntö)
stock;(varasto)
weather;(sää)
chance;(mahdollisuus)
figure;(figuuri)
man;(mies)
model;(malli)
source;(lähde)
beginning;(alku)
earth;(maa)
program;(ohjelma)
chicken;(kana)
design;(suunnitelma)
feature;(piirre)
head;(pää)
material;(materiaali)
purpose;(tarkoitus)
question;(kysymys)
rock;(rock)
salt;(suola)
act;(toimia)
birth;(syntymä)
car;(auto)
dog;(koira)
object;(objekti)
scale;(mittakaava)
sun;(aurinko)
note;(muistiinpano)
profit;(voitto)
rent;(vuokrata)
speed;(nopeus)
style;(tyyli)
war;(sota)
bank;(pankki)
craft;(viekkaus)
half;(puoli)
inside;(sisäpuoli)
outside;(ulkona)
standard;(standardi)
bus;(bussi)
exchange;(vaihto)
eye;(silmä)
fire;(tulipalo)
position;(asema)
pressure;(paine)
stress;(stressi)
advantage;(etu)
benefit;(etu)
box;(laatikko)
frame;(kehys)
issue;(ongelma)
step;(askel)
cycle;(sykli)
face;(kasvot)
item;(kohta)
metal;(metalli)
paint;(maalata)
review;(arvostelu)
room;(huone)
screen;(kuvaruutu)
structure;(rakenne)
view;(näkymä)
account;(tili)
ball;(pallo)
discipline;(kuri)
medium;(keskiverto)
share;(jakaa)
balance;(vaaka)
bit;(bitti)
black;(musta)
bottom;(pohja)
choice;(valinta)
gift;(lahja)
impact;(vaikutus)
machine;(kone)
shape;(muoto)
tool;(työkalu)
wind;(tuuli)
address;(osoite)
average;(keskiarvo)
career;(ura)
culture;(kulttuuri)
morning;(aamu)
pot;(pata)
sign;(merkki)
table;(pöytä)
task;(tehtävä)
condition;(ehto)
contact;(kontakti)
credit;(luotto)
egg;(muna)
hope;(toivo)
ice;(jää)
network;(verkko)
north;(pohjoinen)
square;(aukio)
attempt;(yritys)
date;(päivämäärä)
effect;(vaikutus)
link;(linkki)
post;(posti)
star;(tähti)
voice;(ääni)
capital;(pääkaupunki)
challenge;(haastaa)
friend;(ystävä)
self;(itse)
shot;(laukaus)
brush;(harjata)
couple;(pari)
debate;(väittely)
exit;(uloskäynti)
front;(rintama)
function;(funktio)
lack;(puute)
living;(elävä)
plant;(kasvi)
plastic;(muovi)
spot;(läikkä)
summer;(kesä)
taste;(maku)
theme;(teema)
track;(raita)
wing;(siipi)
brain;(aivot)
button;(nappi)
click;(napsauttaa)
desire;(haluta)
foot;(jalka)
gas;(kaasu)
influence;(vaikutus)
notice;(huomata)
rain;(sade)
wall;(seinä)
base;(kanta)
damage;(vahinko)
distance;(etäisyys)
feeling;(tunne)
pair;(pari)
savings;(säästöt)
staff;(henkilökunta)
sugar;(sokeri)
target;(kohde)
text;(tekstiviesti)
animal;(eläin)
author;(tekijä)
budget;(talousarvio)
discount;(alennus)
file;(tiedosto)
ground;(perusta)
lesson;(läksy)
minute;(minuutti)
officer;(upseeri)
phase;(vaihe)
reference;(viittaus)
register;(rekisteröidy)
sky;(taivas)
stage;(näyttämö)
stick;(keppi)
title;(nimike)
trouble;(vaiva)
bowl;(kulho)
bridge;(silta)
campaign;(kampanja)
character;(merkki)
club;(kerho)
edge;(reuna)
evidence;(todiste)
fan;(tuuletin)
letter;(kirje)
lock;(lukko)
maximum;(maksimi)
novel;(romaani)
option;(vaihtoehto)
pack;(pakata)
park;(puisto)
plenty;(runsaasti)
quarter;(neljännes)
skin;(iho)
sort;(laji)
weight;(paino)
baby;(vauva)
background;(tausta)
carry;(kuljettaa)
dish;(ruokalaji)
factor;(tekijä)
fruit;(hedelmä)
glass;(lasi)
joint;(yhteinen)
master;(mestari)
muscle;(lihas)
red;(punainen)
strength;(voima)
traffic;(liikenne)
trip;(matka)
vegetable;(kasvis)
appeal;(muutoksenhaku)
chart;(kaavio)
gear;(vaihde)
ideal;(ideaali)
kitchen;(keittiö)
land;(maa)
log;(log)
mother;(äiti)
net;(verkko)
party;(puolue)
principle;(periaate)
relative;(sukulainen)
sale;(myynti)
season;(vuodenaika)
signal;(signaali)
spirit;(henki)
street;(katu)
tree;(puu)
wave;(aalto)
belt;(vyö)
bench;(penkki)
commission;(komissio)
copy;(kopioida)
drop;(pisara)
minimum;(minimi)
path;(polku)
progress;(eteneminen)
project;(projekti)
sea;(meri)
south;(etelä)
status;(tila)
stuff;(tunkea)
ticket;(matkalippu)
tour;(kiertomatka)
angle;(kulma)
blue;(sininen)
breakfast;(aamiainen)
confidence;(luottamus)
daughter;(tytär)
degree;(aste)
doctor;(lääkäri)
dot;(piste)
dream;(uni)
duty;(velvollisuus)
essay;(essee)
father;(isä)
fee;(maksu)
finance;(rahoitus)
hour;(tunti)
juice;(mehu)
limit;(rajoittaa)
luck;(onni)
milk;(maito)
mouth;(suu)
peace;(rauha)
pipe;(putki)
seat;(istuin)
stable;(talli)
storm;(myrsky)
substance;(aine)
team;(joukkue)
trick;(temppu)
afternoon;(iltapäivä)
bat;(bat)
beach;(ranta)
blank;(aihio)
catch;(saalis)
chain;(ketju)
consideration;(harkinta)
cream;(kerma)
crew;(miehistö)
detail;(yksityiskohta)
gold;(kulta)
interview;(haastattelu)
kid;(kili)
mark;(merkki)
match;(tulitikku)
mission;(tehtävä)
pain;(kipu)
pleasure;(ilo)
score;(pistetilanne)
screw;(ruuvi)
sex;(seksi)
shop;(kauppa)
shower;(suihku)
suit;(puku)
tone;(sävy)
window;(ikkuna)
agent;(agentti)
band;(bändi)
block;(estää)
bone;(luu)
calendar;(kalenteri)
cap;(lakki)
coat;(takki)
contest;(kilpailu)
corner;(nurkka)
court;(tuomioistuin)
cup;(kuppi)
district;(alue)
door;(ovi)
east;(itä)
finger;(sormi)
garage;(autotalli)
guarantee;(takuu)
hole;(reikä)
hook;(koukku)
implement;(toteuttaa)
layer;(kerros)
lecture;(luento)
lie;(maata)
manner;(tapa)
meeting;(kokous)
nose;(nenä)
parking;(pysäköinti)
partner;(kumppani)
profile;(profiili)
respect;(kunnioittaa)
rice;(riisi)
routine;(rutiini)
schedule;(aikataulu)
swimming;(uinti)
telephone;(puhelin)
tip;(juomaraha)
winter;(talvi)
airline;(lentoyhtiö)
bag;(laukku)
battle;(taistelu)
bed;(sänky)
bill;(lasku)
bother;(vaivata)
cake;(kakku)
code;(koodi)
curve;(käyrä)
designer;(suunnittelija)
dimension;(dimensio)
dress;(leninki)
ease;(helppous)
emergency;(hätä)
evening;(ilta)
extension;(laajennus)
farm;(maatila)
fight;(taistella)
gap;(kuilu)
grade;(aste)
holiday;(loma)
horror;(kauhu)
horse;(hevonen)
host;(isäntä)
husband;(aviomies)
loan;(laina)
mistake;(virhe)
mountain;(vuori)
nail;(naula)
noise;(melu)
occasion;(tilaisuus)
package;(paketti)
patient;(kärsivällinen)
pause;(tauko)
phrase;(fraasi)
proof;(todistus)
race;(rotu)
relief;(apu)
sand;(hiekka)
sentence;(virke)
shoulder;(olka)
smoke;(savu)
stomach;(maha)
string;(merkkijono)
tourist;(turisti)
towel;(pyyhe)
vacation;(loma)
west;(länsi)
wheel;(pyörä)
wine;(viini)
arm;(käsivarsi)
aside;(sivuun)
associate;(liittää)
bet;(panos)
blow;(puhaltaa)
border;(raja)
branch;(oksa)
breast;(rinta)
brother;(veli)
buddy;(kaveri)
bunch;(kimppu)
chip;(siru)
coach;(valmentaja)
cross;(risti)
document;(asiakirja)
draft;(luonnos)
dust;(pöly)
expert;(asiantuntija)
floor;(lattia)
god;(jumala)
golf;(golf)
habit;(tapa)
iron;(rauta)
judge;(tuomari)
knife;(veitsi)
landscape;(maisema)
league;(liiga)
mail;(posti)
mess;(sotku)
native;(syntyperäinen)
opening;(avaaminen)
parent;(vanhempi)
pattern;(kuvio)
pin;(tappi)
pool;(allas)
pound;(punta)
request;(pyytää)
salary;(palkka)
shame;(häpeä)
shelter;(suoja)
shoe;(kenkä)
silver;(hopea)
tackle;(taklaus)
tank;(tankki)
trust;(luottaa)
assist;(avustaa)
bake;(leipoa)
bar;(baari)
bell;(kello)
bike;(pyöräillä)
blame;(syyttää)
boy;(poika)
brick;(tiili)
chair;(tuoli)
closet;(kaappi)
clue;(johtolanka)
collar;(kaulus)
comment;(kommentti)
conference;(konferenssi)
devil;(paholainen)
diet;(ruokavalio)
fear;(pelko)
fuel;(polttoaine)
glove;(hansikas)
jacket;(takki)
lunch;(lounas)
monitor;(monitori)
mortgage;(kiinnitys)
nurse;(sairaanhoitaja)
pace;(vauhti)
panic;(paniikki)
peak;(huippu)
plane;(taso)
reward;(palkita)
row;(rivi)
sandwich;(voileipä)
shock;(järkytys)
spite;(kauna)
spray;(suihkuttaa)
surprise;(yllättää)
till;(muokata)
transition;(siirtymä)
weekend;(viikonloppu)
welcome;(tervetuloa)
yard;(piha)
alarm;(hälytys)
bend;(mutka)
bicycle;(polkupyörä)
bite;(purra)
blind;(sokea)
bottle;(pullo)
cable;(kaapeli)
candle;(kynttilä)
clerk;(konttoristi)
cloud;(pilvi)
concert;(konsertti)
counter;(laskuri)
flower;(kukka)
grandfather;(isoisä)
harm;(haitta)
knee;(polvi)
lawyer;(asianajaja)
leather;(nahka)
load;(kuorma)
mirror;(peili)
neck;(kaula)
pension;(eläke)
plate;(levy)
purple;(purppura)
ruin;(raunio)
ship;(laiva)
skirt;(hame)
slice;(viipale)
snow;(lumi)
specialist;(erikoislääkäri)
stroke;(aivohalvaus)
switch;(kytkin)
trash;(roska)
tune;(melodia)
zone;(vyöhyke)
anger;(viha)
award;(myöntää)
bid;(tarjous)
bitter;(kitkerä)
boot;(saapas)
bug;(ötökkä)
camp;(leiri)
candy;(makeinen)
carpet;(matto)
cat;(kissa)
champion;(esitaistelija)
channel;(kanava)
clock;(kello)
comfort;(mukavuus)
cow;(lehmä)
crack;(halkeama)
engineer;(insinööri)
entrance;(sisäänkäynti)
fault;(vika)
grass;(ruoho)
guy;(kundi)
hell;()
highlight;(korostaa)
incident;(tapaus)
island;(saari)
joke;(vitsi)
jury;(valamiehistö)
leg;(jalka)
lip;(huuli)
mate;(perämies)
motor;(moottori)
nerve;(hermo)
passage;(käytävä)
pen;(kynä)
pride;(ylpeys)
priest;(pappi)
prize;(palkinto)
promise;(luvata)
resident;(asukas)
resort;(turvautua)
ring;(sormus)
roof;(katto)
rope;(köysi)
sail;(purje)
scheme;(järjestelmä)
script;(käsikirjoitus)
sock;(sukka)
station;(asema)
toe;(varvas)
tower;(torni)
truck;(rekka)
witness;(todistaja)
a;(a)
you;(sinä)
it;(se)
can;(voida)
will;(tahto)
if;(jos)
one;(yksi)
many;(monta)
most;(eniten)
other;(toinen)
use;(käyttää)
make;(tehdä)
good;(hyvä)
look;(katso)
help;(apua)
go;(mennä)
great;(upea)
being;(oleminen)
few;(muutama)
might;(mahti)
still;(vielä)
public;(julkinen)
read;(lukea)
keep;(pitää)
start;(aloittaa)
give;(antaa)
human;(ihminen)
local;(paikallinen)
general;(yleiset)
she;(hän)
specific;(spesifinen)
long;(pitkä)
play;(leikkiä)
feel;(tuntea)
high;(korkea)
tonight;(tänä iltana)
put;(asettaa)
common;(yhteinen)
set;(joukko)
change;(muuttaa)
simple;(yksinkertainen)
past;(menneisyys)
big;(iso)
possible;(mahdollinen)
particular;(yksityiskohta)
today;(tänään)
major;(duuri)
personal;(henkilökohtainen)
current;(nykyinen)
national;(kansallinen)
cut;(leikata)
natural;(luonnollinen)
physical;(fyysinen)
show;(näyttää)
try;(yrittää)
check;(tarkistaa)
second;(toinen)
call;(kutsua)
move;(siirtyä)
pay;(maksaa)
let;(antaa)
increase;(lisätä)
single;(yksittäinen)
individual;(yksilö)
turn;(kääntää)
ask;(kysyä)
buy;(ostaa)
guard;(vartija)
hold;(pitää)
main;(pää)
offer;(tarjota)
potential;(potentiaali)
professional;(ammattimainen)
international;(kansainvälinen)
travel;(matkustaa)
cook;(kokki)
alternative;(vaihtoehtoinen)
following;(seuraava)
special;(erikoinen)
working;(toimiva)
whole;(koko)
dance;(tanssi)
excuse;(antaa anteeksi)
cold;(kylmä)
commercial;(kaupallinen)
low;(matala)
purchase;(ostaa)
deal;(käsitellä)
primary;(ensisijainen)
worth;(arvoinen)
fall;(pudota)
necessary;(välttämätön)
positive;(positiivinen)
produce;(tuottaa)
search;(etsiä)
present;(lahja)
spend;(kuluttaa)
talk;(puhua)
creative;(luova)
tell;(kertoa)
cost;(kustannus)
drive;(ajaa)
green;(vihreä)
support;(tuki)
glad;(iloinen)
remove;(poistaa)
return;(paluu)
run;(juosta)
complex;(monimutkainen)
due;(erääntynyt)
effective;(tehokas)
middle;(keskus)
regular;(säännöllinen)
reserve;(varaus)
independent;(itsenäinen)
leave;(jättää)
original;(alkuperäinen)
reach;(saavuttaa)
rest;(levätä)
serve;(palvella)
watch;(katsella)
beautiful;(kaunis)
charge;(syyte)
active;(aktiivinen)
break;(tauko)
negative;(negatiivinen)
safe;(turvallinen)
stay;(jäädä)
visit;(vierailla)
visual;(visuaalinen)
affect;(vaikuttaa)
cover;(kansi)
report;(raportti)
rise;(nousta)
walk;(kävellä)
white;(valkoinen)
beyond;(yli)
junior;(juniori)
pick;(valita)
unique;(ainutlaatuinen)
anything;(mikään)
classic;(klassikko)
final;(finaali)
lift;(hissi)
mix;(sekoittaa)
private;(yksityinen)
stop;(seis)
teach;(opettaa)
western;(läntinen)
concern;(huoli)
familiar;(tuttu)
fly;(lentää)
official;(virallinen)
broad;(laaja)
comfortable;(mukava)
gain;(saada)
maybe;(ehkä)
rich;(rikas)
save;(säästää)
stand;(seisoa)
young;(nuori)
fail;(epäonnistua)
heavy;(raskas)
hello;(hei)
lead;(lyijy)
listen;(kuunnella)
valuable;(arvokas)
worry;(huoli)
handle;(kahva)
leading;(johtava)
meet;(tavata)
release;(vapauttaa)
sell;(myydä)
finish;(lopettaa)
normal;(normaali)
press;(painaa)
ride;(ratsastaa)
secret;(salainen)
spread;(leviäminen)
spring;(kevät)
tough;(sitkeä)
wait;(odota)
brown;(ruskea)
deep;(syvä)
display;(näyttö)
flow;(virtaus)
hit;(lyödä)
objective;(objektiivi)
shoot;(ampua)
touch;(kosketus)
cancel;(perua)
chemical;(kemiallinen)
cry;(itkeä)
dump;(kaatopaikka)
extreme;(äärimmäinen)
push;(työntää)
conflict;(ristiriita)
eat;(syödä)
fill;(täyttää)
formal;(formaali)
jump;(hypätä)
kick;(potkaista)
opposite;(vastakohta)
pass;(kulua)
pitch;(piki)
remote;(etäinen)
total;(koko)
treat;(kohdella)
vast;(laaja)
abuse;(väärinkäyttö)
beat;(voittaa)
burn;(palaa)
deposit;(tallettaa)
print;(vedos)
raise;(nostaa)
sleep;(nukkua)
somewhere;(jonnekin)
advance;(ennakko)
anywhere;(missä tahansa)
consist;(koostua)
dark;(tumma)
double;(kaksinkertainen)
draw;(piirtää)
equal;(yhtäläinen)
fix;(kiinnittää)
hire;(palkata)
internal;(sisäinen)
join;(liittyä)
kill;(tappaa)
sensitive;(herkkä)
tap;(hana)
win;(voittaa)
attack;(hyökkäys)
claim;(vaatia)
constant;(vakio)
drag;(vetää)
drink;(juoda)
guess;(arvata)
minor;(alaikäinen)
pull;(vetää)
raw;(raw)
soft;(pehmeä)
solid;(kiinteä)
wear;(kuluminen)
weird;(outo)
wonder;(ihmetellä)
annual;(vuotuinen)
count;(kreivi)
dead;(kuollut)
doubt;(epäillä)
feed;(ruokkia)
forever;(ikuisesti)
impress;(vaikuttaa)
nobody;(ei kukaan)
repeat;(toistaa)
round;(pyöreä)
sing;(laulaa)
slide;(liukumäki)
strip;(riisua)
whereas;(ottaa huomioon,että)
wish;(toivottaa)
combine;(yhdistää)
command;(komento)
dig;(kaivaa)
divide;(jakaa)
equivalent;(ekvivalentti)
hang;(ripustaa)
hunt;(metsästää)
initial;(alkukirjain)
march;(maaliskuu)
mention;(mainita)
smell;(haju)
spiritual;(hengellinen)
survey;(tutkimus)
tie;(sitoa)
adult;(aikuinen)
brief;(lyhyt)
crazy;(hullu)
